year,nome,month,Number of Fires,date
2013,PARAIBA,September,476,2013-01-01
2014,PARAIBA,September,443,2014-01-01
2015,PARAIBA,September,599,2015-01-01
2016,PARAIBA,September,1.371,2016-01-01
2017,PARAIBA,September,1.706,2017-01-01
1998,PARAIBA,October,61,1998-01-01
1999,PARAIBA,October,452,1999-01-01
2000,PARAIBA,October,658,2000-01-01
2001,PARAIBA,October,209,2001-01-01
2002,PARAIBA,October,399,2002-01-01
2003,PARAIBA,October,1.228,2003-01-01
2004,PARAIBA,October,666,2004-01-01
2005,PARAIBA,October,157,2005-01-01
2006,PARAIBA,October,327,2006-01-01
2007,PARAIBA,October,194,2007-01-01
2008,PARAIBA,October,78,2008-01-01
2009,PARAIBA,October,424,2009-01-01
2010,PARAIBA,October,230,2010-01-01
2011,PARAIBA,October,256,2011-01-01
2012,PARAIBA,October,145,2012-01-01
2013,PARAIBA,October,233,2013-01-01
2014,PARAIBA,October,411,2014-01-01
2015,PARAIBA,October,158,2015-01-01
2016,PARAIBA,October,193,2016-01-01
2017,PARAIBA,October,134,2017-01-01
1998,PARAIBA,November,143,1998-01-01
1999,PARAIBA,November,447,1999-01-01
2000,PARAIBA,November,85,2000-01-01
2001,PARAIBA,November,89,2001-01-01
2002,PARAIBA,November,425,2002-01-01
2003,PARAIBA,November,503,2003-01-01
2004,PARAIBA,November,388,2004-01-01
2005,PARAIBA,November,597,2005-01-01
2006,PARAIBA,November,60,2006-01-01
2007,PARAIBA,November,59,2007-01-01
2008,PARAIBA,November,39,2008-01-01
2009,PARAIBA,November,90,2009-01-01
2010,PARAIBA,November,183,2010-01-01
2011,PARAIBA,November,138,2011-01-01
2012,PARAIBA,November,142,2012-01-01
2013,PARAIBA,November,126,2013-01-01
2014,PARAIBA,November,68,2014-01-01
2015,PARAIBA,November,18,2015-01-01
2016,PARAIBA,November,275,2016-01-01
2017,PARAIBA,November,292,2017-01-01
1998,PARAIBA,December,82,1998-01-01
1999,PARAIBA,December,254,1999-01-01
2000,PARAIBA,December,159,2000-01-01
2001,PARAIBA,December,85,2001-01-01
2002,PARAIBA,December,165,2002-01-01
2003,PARAIBA,December,171,2003-01-01
2004,PARAIBA,December,151,2004-01-01
2005,PARAIBA,December,40,2005-01-01
2006,PARAIBA,December,6,2006-01-01
2007,PARAIBA,December,22,2007-01-01
2008,PARAIBA,December,62,2008-01-01
2009,PARAIBA,December,30,2009-01-01
2010,PARAIBA,December,37,2010-01-01
2011,PARAIBA,December,78,2011-01-01
2012,PARAIBA,December,54,2012-01-01
2013,PARAIBA,December,155,2013-01-01
2014,PARAIBA,December,78,2014-01-01
2015,PARAIBA,December,30,2015-01-01
2016,PARAIBA,December,45,2016-01-01
1998,PERNAMBUCO,January,0,1998-01-01
1999,PERNAMBUCO,January,102,1999-01-01
2000,PERNAMBUCO,January,3,2000-01-01
2001,PERNAMBUCO,January,7,2001-01-01
2002,PERNAMBUCO,January,10,2002-01-01
2003,PERNAMBUCO,January,188,2003-01-01
2004,PERNAMBUCO,January,29,2004-01-01
2005,PERNAMBUCO,January,221,2005-01-01
2006,PERNAMBUCO,January,148,2006-01-01
2007,PERNAMBUCO,January,156,2007-01-01
2008,PERNAMBUCO,January,170,2008-01-01
2009,PERNAMBUCO,January,256,2009-01-01
2010,PERNAMBUCO,January,47,2010-01-01
2011,PERNAMBUCO,January,49,2011-01-01
2012,PERNAMBUCO,January,146,2012-01-01
2013,PERNAMBUCO,January,55,2013-01-01
2014,PERNAMBUCO,January,99,2014-01-01
2015,PERNAMBUCO,January,109,2015-01-01
2016,PERNAMBUCO,January,24,2016-01-01
2017,PERNAMBUCO,January,52,2017-01-01
1998,PERNAMBUCO,February,0,1998-01-01
1999,PERNAMBUCO,February,13,1999-01-01
2000,PERNAMBUCO,February,4,2000-01-01
2001,PERNAMBUCO,February,2,2001-01-01
2002,PERNAMBUCO,February,19,2002-01-01
2003,PERNAMBUCO,February,35,2003-01-01
2004,PERNAMBUCO,February,8,2004-01-01
2005,PERNAMBUCO,February,33,2005-01-01
2006,PERNAMBUCO,February,41,2006-01-01
2007,PERNAMBUCO,February,21,2007-01-01
2008,PERNAMBUCO,February,48,2008-01-01
2009,PERNAMBUCO,February,28,2009-01-01
2010,PERNAMBUCO,February,33,2010-01-01
2011,PERNAMBUCO,February,25,2011-01-01
2012,PERNAMBUCO,February,64,2012-01-01
2013,PERNAMBUCO,February,29,2013-01-01
2014,PERNAMBUCO,February,25,2014-01-01
2015,PERNAMBUCO,February,55,2015-01-01
2016,PERNAMBUCO,February,19,2016-01-01
2017,PERNAMBUCO,February,23,2017-01-01
1998,PERNAMBUCO,March,0,1998-01-01
1999,PERNAMBUCO,March,27,1999-01-01
2000,PERNAMBUCO,March,14,2000-01-01
2001,PERNAMBUCO,March,0,2001-01-01
2002,PERNAMBUCO,March,24,2002-01-01
2003,PERNAMBUCO,March,9,2003-01-01
2004,PERNAMBUCO,March,6,2004-01-01
2005,PERNAMBUCO,March,45,2005-01-01
2006,PERNAMBUCO,March,18,2006-01-01
2007,PERNAMBUCO,March,4,2007-01-01
2008,PERNAMBUCO,March,32,2008-01-01
2009,PERNAMBUCO,March,15,2009-01-01
2010,PERNAMBUCO,March,59,2010-01-01
2011,PERNAMBUCO,March,39,2011-01-01
2012,PERNAMBUCO,March,44,2012-01-01
2013,PERNAMBUCO,March,40,2013-01-01
2014,PERNAMBUCO,March,36,2014-01-01
2015,PERNAMBUCO,March,33,2015-01-01
2016,PERNAMBUCO,March,4,2016-01-01
2017,PERNAMBUCO,March,7,2017-01-01
1998,PERNAMBUCO,April,0,1998-01-01
1999,PERNAMBUCO,April,2,1999-01-01
2000,PERNAMBUCO,April,1,2000-01-01
2001,PERNAMBUCO,April,2,2001-01-01
2002,PERNAMBUCO,April,5,2002-01-01
2003,PERNAMBUCO,April,7,2003-01-01
2004,PERNAMBUCO,April,5,2004-01-01
2005,PERNAMBUCO,April,1,2005-01-01
2006,PERNAMBUCO,April,2,2006-01-01
2007,PERNAMBUCO,April,1,2007-01-01
2008,PERNAMBUCO,April,5,2008-01-01
2009,PERNAMBUCO,April,3,2009-01-01
2010,PERNAMBUCO,April,2,2010-01-01
2011,PERNAMBUCO,April,22,2011-01-01
2012,PERNAMBUCO,April,46,2012-01-01
2013,PERNAMBUCO,April,11,2013-01-01
2014,PERNAMBUCO,April,10,2014-01-01
2015,PERNAMBUCO,April,30,2015-01-01
2016,PERNAMBUCO,April,8,2016-01-01
2017,PERNAMBUCO,April,9,2017-01-01
1998,PERNAMBUCO,May,0,1998-01-01
1999,PERNAMBUCO,May,6,1999-01-01
2000,PERNAMBUCO,May,7,2000-01-01
2001,PERNAMBUCO,May,5,2001-01-01
2002,PERNAMBUCO,May,13,2002-01-01
2003,PERNAMBUCO,May,1,2003-01-01
2004,PERNAMBUCO,May,2,2004-01-01
2005,PERNAMBUCO,May,1,2005-01-01
2006,PERNAMBUCO,May,1,2006-01-01
2007,PERNAMBUCO,May,0,2007-01-01
2008,PERNAMBUCO,May,0,2008-01-01
2009,PERNAMBUCO,May,0,2009-01-01
2010,PERNAMBUCO,May,8,2010-01-01
2011,PERNAMBUCO,May,1,2011-01-01
2012,PERNAMBUCO,May,36,2012-01-01
2013,PERNAMBUCO,May,9,2013-01-01
2014,PERNAMBUCO,May,4,2014-01-01
2015,PERNAMBUCO,May,17,2015-01-01
2016,PERNAMBUCO,May,6,2016-01-01
2017,PERNAMBUCO,May,13,2017-01-01
1998,PERNAMBUCO,June,1,1998-01-01
1999,PERNAMBUCO,June,7,1999-01-01
2000,PERNAMBUCO,June,4,2000-01-01
2001,PERNAMBUCO,June,2,2001-01-01
2002,PERNAMBUCO,June,1,2002-01-01
2003,PERNAMBUCO,June,2,2003-01-01
2004,PERNAMBUCO,June,4,2004-01-01
2005,PERNAMBUCO,June,3,2005-01-01
2006,PERNAMBUCO,June,0,2006-01-01
2007,PERNAMBUCO,June,1,2007-01-01
2008,PERNAMBUCO,June,0,2008-01-01
2009,PERNAMBUCO,June,1,2009-01-01
2010,PERNAMBUCO,June,1,2010-01-01
2011,PERNAMBUCO,June,4,2011-01-01
2012,PERNAMBUCO,June,12,2012-01-01
2013,PERNAMBUCO,June,12,2013-01-01
2014,PERNAMBUCO,June,3,2014-01-01
2015,PERNAMBUCO,June,3,2015-01-01
2016,PERNAMBUCO,June,4,2016-01-01
2017,PERNAMBUCO,June,5,2017-01-01
1998,PERNAMBUCO,July,5,1998-01-01
1999,PERNAMBUCO,July,2,1999-01-01
2000,PERNAMBUCO,July,0,2000-01-01
2001,PERNAMBUCO,July,6,2001-01-01
2002,PERNAMBUCO,July,8,2002-01-01
2003,PERNAMBUCO,July,5,2003-01-01
2004,PERNAMBUCO,July,13,2004-01-01
2005,PERNAMBUCO,July,1,2005-01-01
2006,PERNAMBUCO,July,1,2006-01-01
2007,PERNAMBUCO,July,3,2007-01-01
2008,PERNAMBUCO,July,0,2008-01-01
2009,PERNAMBUCO,July,1,2009-01-01
2010,PERNAMBUCO,July,7,2010-01-01
2011,PERNAMBUCO,July,2,2011-01-01
2012,PERNAMBUCO,July,11,2012-01-01
2013,PERNAMBUCO,July,4,2013-01-01
2014,PERNAMBUCO,July,11,2014-01-01
2015,PERNAMBUCO,July,13,2015-01-01
2016,PERNAMBUCO,July,17,2016-01-01
2017,PERNAMBUCO,July,2,2017-01-01
1998,PERNAMBUCO,August,12,1998-01-01
1999,PERNAMBUCO,August,3,1999-01-01
2000,PERNAMBUCO,August,31,2000-01-01
2001,PERNAMBUCO,August,27,2001-01-01
2002,PERNAMBUCO,August,37,2002-01-01
2003,PERNAMBUCO,August,26,2003-01-01
2004,PERNAMBUCO,August,41,2004-01-01
2005,PERNAMBUCO,August,10,2005-01-01
2006,PERNAMBUCO,August,8,2006-01-01
2007,PERNAMBUCO,August,20,2007-01-01
2008,PERNAMBUCO,August,2,2008-01-01
2009,PERNAMBUCO,August,10,2009-01-01
2010,PERNAMBUCO,August,29,2010-01-01
2011,PERNAMBUCO,August,27,2011-01-01
2012,PERNAMBUCO,August,27,2012-01-01
2013,PERNAMBUCO,August,14,2013-01-01
2014,PERNAMBUCO,August,23,2014-01-01
2015,PERNAMBUCO,August,21,2015-01-01
2016,PERNAMBUCO,August,42,2016-01-01
2017,PERNAMBUCO,August,20,2017-01-01
1998,PERNAMBUCO,September,177,1998-01-01
1999,PERNAMBUCO,September,64,1999-01-01
2000,PERNAMBUCO,September,130,2000-01-01
2001,PERNAMBUCO,September,298,2001-01-01
2002,PERNAMBUCO,September,374,2002-01-01
2003,PERNAMBUCO,September,510,2003-01-01
2004,PERNAMBUCO,September,192,2004-01-01
2005,PERNAMBUCO,September,154,2005-01-01
2006,PERNAMBUCO,September,147,2006-01-01
2007,PERNAMBUCO,September,164,2007-01-01
2008,PERNAMBUCO,September,92,2008-01-01
2009,PERNAMBUCO,September,164,2009-01-01
2010,PERNAMBUCO,September,179,2010-01-01
2011,PERNAMBUCO,September,243,2011-01-01
2012,PERNAMBUCO,September,192,2012-01-01
2013,PERNAMBUCO,September,143,2013-01-01
2014,PERNAMBUCO,September,63,2014-01-01
2015,PERNAMBUCO,September,116,2015-01-01
2016,PERNAMBUCO,September,171,2016-01-01
2017,PERNAMBUCO,September,69,2017-01-01
1998,PERNAMBUCO,October,372,1998-01-01
1999,PERNAMBUCO,October,180,1999-01-01
2000,PERNAMBUCO,October,411,2000-01-01
2001,PERNAMBUCO,October,461,2001-01-01
2002,PERNAMBUCO,October,638,2002-01-01
2003,PERNAMBUCO,October,859,2003-01-01
2004,PERNAMBUCO,October,545,2004-01-01
2005,PERNAMBUCO,October,408,2005-01-01
2006,PERNAMBUCO,October,310,2006-01-01
2007,PERNAMBUCO,October,702,2007-01-01
2008,PERNAMBUCO,October,274,2008-01-01
2009,PERNAMBUCO,October,254,2009-01-01
2010,PERNAMBUCO,October,347,2010-01-01
2011,PERNAMBUCO,October,461,2011-01-01
2012,PERNAMBUCO,October,222,2012-01-01
2013,PERNAMBUCO,October,161,2013-01-01
2014,PERNAMBUCO,October,174,2014-01-01
2015,PERNAMBUCO,October,194,2015-01-01
2016,PERNAMBUCO,October,319,2016-01-01
2017,PERNAMBUCO,October,256,2017-01-01
1998,PERNAMBUCO,November,141,1998-01-01
1999,PERNAMBUCO,November,41,1999-01-01
2000,PERNAMBUCO,November,64,2000-01-01
2001,PERNAMBUCO,November,208,2001-01-01
2002,PERNAMBUCO,November,521,2002-01-01
2003,PERNAMBUCO,November,560,2003-01-01
2004,PERNAMBUCO,November,465,2004-01-01
2005,PERNAMBUCO,November,452,2005-01-01
2006,PERNAMBUCO,November,385,2006-01-01
2007,PERNAMBUCO,November,359,2007-01-01
2008,PERNAMBUCO,November,363,2008-01-01
2009,PERNAMBUCO,November,486,2009-01-01
2010,PERNAMBUCO,November,831,2010-01-01
2011,PERNAMBUCO,November,352,2011-01-01
2012,PERNAMBUCO,November,181,2012-01-01
2013,PERNAMBUCO,November,110,2013-01-01
2014,PERNAMBUCO,November,111,2014-01-01
2015,PERNAMBUCO,November,315,2015-01-01
2016,PERNAMBUCO,November,191,2016-01-01
2017,PERNAMBUCO,November,66,2017-01-01
1998,PERNAMBUCO,December,59,1998-01-01
1999,PERNAMBUCO,December,16,1999-01-01
2000,PERNAMBUCO,December,22,2000-01-01
2001,PERNAMBUCO,December,62,2001-01-01
2002,PERNAMBUCO,December,259,2002-01-01
2003,PERNAMBUCO,December,229,2003-01-01
2004,PERNAMBUCO,December,373,2004-01-01
2005,PERNAMBUCO,December,191,2005-01-01
2006,PERNAMBUCO,December,207,2006-01-01
2007,PERNAMBUCO,December,200,2007-01-01
2008,PERNAMBUCO,December,203,2008-01-01
2009,PERNAMBUCO,December,351,2009-01-01
2010,PERNAMBUCO,December,117,2010-01-01
2011,PERNAMBUCO,December,364,2011-01-01
2012,PERNAMBUCO,December,108,2012-01-01
2013,PERNAMBUCO,December,141,2013-01-01
2014,PERNAMBUCO,December,101,2014-01-01
2015,PERNAMBUCO,December,176,2015-01-01
2016,PERNAMBUCO,December,161,2016-01-01
1998,PIAU,January,0,1998-01-01
1999,PIAU,January,21,1999-01-01
2000,PIAU,January,5,2000-01-01
2001,PIAU,January,29,2001-01-01
2002,PIAU,January,33,2002-01-01
2003,PIAU,January,86,2003-01-01
2004,PIAU,January,42,2004-01-01
2005,PIAU,January,94,2005-01-01
2006,PIAU,January,133,2006-01-01
2007,PIAU,January,123,2007-01-01
2008,PIAU,January,61,2008-01-01
2009,PIAU,January,79,2009-01-01
2010,PIAU,January,99,2010-01-01
2011,PIAU,January,39,2011-01-01
2012,PIAU,January,80,2012-01-01
2013,PIAU,January,72,2013-01-01
2014,PIAU,January,79,2014-01-01
2015,PIAU,January,92,2015-01-01
2016,PIAU,January,94,2016-01-01
2017,PIAU,January,85,2017-01-01
1998,PIAU,February,0,1998-01-01
1999,PIAU,February,22,1999-01-01
2000,PIAU,February,12,2000-01-01
2001,PIAU,February,0,2001-01-01
2002,PIAU,February,160,2002-01-01
2003,PIAU,February,3,2003-01-01
2004,PIAU,February,20,2004-01-01
2005,PIAU,February,26,2005-01-01
2006,PIAU,February,23,2006-01-01
2007,PIAU,February,11,2007-01-01
2008,PIAU,February,21,2008-01-01
2009,PIAU,February,19,2009-01-01
2010,PIAU,February,54,2010-01-01
2011,PIAU,February,11,2011-01-01
2012,PIAU,February,31,2012-01-01
2013,PIAU,February,68,2013-01-01
2014,PIAU,February,14,2014-01-01
2015,PIAU,February,38,2015-01-01
2016,PIAU,February,97,2016-01-01
2017,PIAU,February,24,2017-01-01
1998,PIAU,March,0,1998-01-01
1999,PIAU,March,4,1999-01-01
2000,PIAU,March,14,2000-01-01
2001,PIAU,March,2,2001-01-01
2002,PIAU,March,63,2002-01-01
2003,PIAU,March,15,2003-01-01
2004,PIAU,March,27,2004-01-01
2005,PIAU,March,13,2005-01-01
2006,PIAU,March,18,2006-01-01
2007,PIAU,March,31,2007-01-01
2008,PIAU,March,4,2008-01-01
2009,PIAU,March,17,2009-01-01
2010,PIAU,March,47,2010-01-01
2011,PIAU,March,15,2011-01-01
2012,PIAU,March,71,2012-01-01
2013,PIAU,March,14,2013-01-01
2014,PIAU,March,88,2014-01-01
2015,PIAU,March,35,2015-01-01
2016,PIAU,March,53,2016-01-01
2017,PIAU,March,25,2017-01-01
1998,PIAU,April,0,1998-01-01
1999,PIAU,April,10,1999-01-01
2000,PIAU,April,15,2000-01-01
2001,PIAU,April,1,2001-01-01
2002,PIAU,April,87,2002-01-01
2003,PIAU,April,22,2003-01-01
2004,PIAU,April,10,2004-01-01
2005,PIAU,April,3,2005-01-01
2006,PIAU,April,1,2006-01-01
2007,PIAU,April,9,2007-01-01
2008,PIAU,April,7,2008-01-01
2009,PIAU,April,8,2009-01-01
2010,PIAU,April,56,2010-01-01
2011,PIAU,April,16,2011-01-01
2012,PIAU,April,119,2012-01-01
2013,PIAU,April,34,2013-01-01
2014,PIAU,April,63,2014-01-01
2015,PIAU,April,50,2015-01-01
2016,PIAU,April,35,2016-01-01
2017,PIAU,April,25,2017-01-01
1998,PIAU,May,0,1998-01-01
1999,PIAU,May,8,1999-01-01
2000,PIAU,May,25,2000-01-01
2001,PIAU,May,36,2001-01-01
2002,PIAU,May,84,2002-01-01
2003,PIAU,May,13,2003-01-01
2004,PIAU,May,80,2004-01-01
2005,PIAU,May,22,2005-01-01
2006,PIAU,May,0,2006-01-01
2007,PIAU,May,52,2007-01-01
2008,PIAU,May,12,2008-01-01
2009,PIAU,May,12,2009-01-01
2010,PIAU,May,231,2010-01-01
2011,PIAU,May,77,2011-01-01
2012,PIAU,May,334,2012-01-01
2013,PIAU,May,40,2013-01-01
2014,PIAU,May,138,2014-01-01
2015,PIAU,May,66,2015-01-01
2016,PIAU,May,60,2016-01-01
2017,PIAU,May,36,2017-01-01
1998,PIAU,June,46,1998-01-01
1999,PIAU,June,47,1999-01-01
2000,PIAU,June,18,2000-01-01
2001,PIAU,June,87,2001-01-01
2002,PIAU,June,161,2002-01-01
2003,PIAU,June,88,2003-01-01
2004,PIAU,June,239,2004-01-01
2005,PIAU,June,171,2005-01-01
2006,PIAU,June,40,2006-01-01
2007,PIAU,June,303,2007-01-01
2008,PIAU,June,33,2008-01-01
2009,PIAU,June,56,2009-01-01
2010,PIAU,June,208,2010-01-01
2011,PIAU,June,462,2011-01-01
2012,PIAU,June,834,2012-01-01
2013,PIAU,June,263,2013-01-01
2014,PIAU,June,373,2014-01-01
2015,PIAU,June,283,2015-01-01
2016,PIAU,June,153,2016-01-01
2017,PIAU,June,193,2017-01-01
1998,PIAU,July,189,1998-01-01
1999,PIAU,July,123,1999-01-01
2000,PIAU,July,75,2000-01-01
2001,PIAU,July,337,2001-01-01
2002,PIAU,July,534,2002-01-01
2003,PIAU,July,407,2003-01-01
2004,PIAU,July,564,2004-01-01
2005,PIAU,July,445,2005-01-01
2006,PIAU,July,150,2006-01-01
2007,PIAU,July,919,2007-01-01
2008,PIAU,July,97,2008-01-01
2009,PIAU,July,302,2009-01-01
2010,PIAU,July,1.696,2010-01-01
2011,PIAU,July,864,2011-01-01
2012,PIAU,July,1.755,2012-01-01
2013,PIAU,July,361,2013-01-01
2014,PIAU,July,1.177,2014-01-01
2015,PIAU,July,690,2015-01-01
2016,PIAU,July,754,2016-01-01
2017,PIAU,July,643,2017-01-01
1998,PIAU,August,711,1998-01-01
1999,PIAU,August,499,1999-01-01
2000,PIAU,August,415,2000-01-01
2001,PIAU,August,1.133,2001-01-01
2002,PIAU,August,2.28,2002-01-01
2003,PIAU,August,864,2003-01-01
2004,PIAU,August,1.002,2004-01-01
2005,PIAU,August,943,2005-01-01
2006,PIAU,August,911,2006-01-01
2007,PIAU,August,3.551,2007-01-01
2008,PIAU,August,290,2008-01-01
2009,PIAU,August,790,2009-01-01
2010,PIAU,August,4.035,2010-01-01
2011,PIAU,August,1.958,2011-01-01
2012,PIAU,August,3.614,2012-01-01
2013,PIAU,August,1.015,2013-01-01
2014,PIAU,August,2.265,2014-01-01
2015,PIAU,August,2.057,2015-01-01
2016,PIAU,August,1.647,2016-01-01
2017,PIAU,August,1.572,2017-01-01
1998,PIAU,September,1.991,1998-01-01
1999,PIAU,September,872,1999-01-01
2000,PIAU,September,1.099,2000-01-01
2001,PIAU,September,2.401,2001-01-01
2002,PIAU,September,2.475,2002-01-01
2003,PIAU,September,3.399,2003-01-01
2004,PIAU,September,2.662,2004-01-01
2005,PIAU,September,3.136,2005-01-01
2006,PIAU,September,1.618,2006-01-01
2007,PIAU,September,4.078,2007-01-01
2008,PIAU,September,1.472,2008-01-01
2009,PIAU,September,1.709,2009-01-01
2010,PIAU,September,5.392,2010-01-01
2011,PIAU,September,4.402,2011-01-01
2012,PIAU,September,4.479,2012-01-01
2013,PIAU,September,2.311,2013-01-01
2014,PIAU,September,2.536,2014-01-01
2015,PIAU,September,5.828,2015-01-01
2016,PIAU,September,1.394,2016-01-01
2017,PIAU,September,3.422,2017-01-01
1998,PIAU,October,2.586,1998-01-01
1999,PIAU,October,1.438,1999-01-01
2000,PIAU,October,2.558,2000-01-01
2001,PIAU,October,3.742,2001-01-01
2002,PIAU,October,2.757,2002-01-01
2003,PIAU,October,2.332,2003-01-01
2004,PIAU,October,2.144,2004-01-01
2005,PIAU,October,3.263,2005-01-01
2006,PIAU,October,1.443,2006-01-01
2007,PIAU,October,2.331,2007-01-01
2008,PIAU,October,1.83,2008-01-01
2009,PIAU,October,913,2009-01-01
2010,PIAU,October,3.863,2010-01-01
2011,PIAU,October,1.484,2011-01-01
2012,PIAU,October,2.506,2012-01-01
2013,PIAU,October,1.269,2013-01-01
2014,PIAU,October,1.788,2014-01-01
2015,PIAU,October,4.068,2015-01-01
2016,PIAU,October,2.598,2016-01-01
2017,PIAU,October,3.004,2017-01-01
1998,PIAU,November,424,1998-01-01
1999,PIAU,November,334,1999-01-01
2000,PIAU,November,450,2000-01-01
2001,PIAU,November,1.484,2001-01-01
2002,PIAU,November,1.174,2002-01-01
2003,PIAU,November,1.248,2003-01-01
2004,PIAU,November,1.798,2004-01-01
2005,PIAU,November,1.599,2005-01-01
2006,PIAU,November,740,2006-01-01
2007,PIAU,November,939,2007-01-01
2008,PIAU,November,594,2008-01-01
2009,PIAU,November,1.336,2009-01-01
2010,PIAU,November,1.417,2010-01-01
2011,PIAU,November,825,2011-01-01
2012,PIAU,November,447,2012-01-01
2013,PIAU,November,640,2013-01-01
2014,PIAU,November,717,2014-01-01
2015,PIAU,November,897,2015-01-01
2016,PIAU,November,1.126,2016-01-01
2017,PIAU,November,449,2017-01-01
1998,PIAU,December,119,1998-01-01
1999,PIAU,December,74,1999-01-01
2000,PIAU,December,79,2000-01-01
2001,PIAU,December,230,2001-01-01
2002,PIAU,December,373,2002-01-01
2003,PIAU,December,459,2003-01-01
2004,PIAU,December,788,2004-01-01
2005,PIAU,December,486,2005-01-01
2006,PIAU,December,339,2006-01-01
2007,PIAU,December,317,2007-01-01
2008,PIAU,December,329,2008-01-01
2009,PIAU,December,570,2009-01-01
2010,PIAU,December,357,2010-01-01
2011,PIAU,December,362,2011-01-01
2012,PIAU,December,334,2012-01-01
2013,PIAU,December,468,2013-01-01
2014,PIAU,December,346,2014-01-01
2015,PIAU,December,626,2015-01-01
2016,PIAU,December,374,2016-01-01
1998,RIO,January,0,1998-01-01
1999,RIO,January,0,1999-01-01
2000,RIO,January,0,2000-01-01
2001,RIO,January,0,2001-01-01
2002,RIO,January,0,2002-01-01
2003,RIO,January,0,2003-01-01
2004,RIO,January,1,2004-01-01
2005,RIO,January,5,2005-01-01
2006,RIO,January,12,2006-01-01
2007,RIO,January,0,2007-01-01
2008,RIO,January,1,2008-01-01
2009,RIO,January,3,2009-01-01
2010,RIO,January,13,2010-01-01
2011,RIO,January,10,2011-01-01
2012,RIO,January,12,2012-01-01
2013,RIO,January,9,2013-01-01
2014,RIO,January,35,2014-01-01
2015,RIO,January,97,2015-01-01
2016,RIO,January,9,2016-01-01
2017,RIO,January,15,2017-01-01
1998,RIO,February,0,1998-01-01
1999,RIO,February,0,1999-01-01
2000,RIO,February,1,2000-01-01
2001,RIO,February,3,2001-01-01
2002,RIO,February,1,2002-01-01
2003,RIO,February,10,2003-01-01
2004,RIO,February,8,2004-01-01
2005,RIO,February,4,2005-01-01
2006,RIO,February,7,2006-01-01
2007,RIO,February,15,2007-01-01
2008,RIO,February,2,2008-01-01
2009,RIO,February,5,2009-01-01
2010,RIO,February,73,2010-01-01
2011,RIO,February,36,2011-01-01
2012,RIO,February,11,2012-01-01
2013,RIO,February,12,2013-01-01
2014,RIO,February,116,2014-01-01
2015,RIO,February,36,2015-01-01
2016,RIO,February,16,2016-01-01
2017,RIO,February,34,2017-01-01
1998,RIO,March,0,1998-01-01
1999,RIO,March,0,1999-01-01
2000,RIO,March,0,2000-01-01
2001,RIO,March,0,2001-01-01
2002,RIO,March,1,2002-01-01
2003,RIO,March,23,2003-01-01
2004,RIO,March,4,2004-01-01
2005,RIO,March,7,2005-01-01
2006,RIO,March,8,2006-01-01
2007,RIO,March,27,2007-01-01
2008,RIO,March,2,2008-01-01
2009,RIO,March,5,2009-01-01
2010,RIO,March,10,2010-01-01
2011,RIO,March,7,2011-01-01
2012,RIO,March,20,2012-01-01
2013,RIO,March,9,2013-01-01
2014,RIO,March,38,2014-01-01
2015,RIO,March,23,2015-01-01
2016,RIO,March,16,2016-01-01
2017,RIO,March,10,2017-01-01
1998,RIO,April,0,1998-01-01
1999,RIO,April,1,1999-01-01
2000,RIO,April,2,2000-01-01
2001,RIO,April,2,2001-01-01
2002,RIO,April,8,2002-01-01
2003,RIO,April,11,2003-01-01
2004,RIO,April,3,2004-01-01
2005,RIO,April,1,2005-01-01
2006,RIO,April,8,2006-01-01
2007,RIO,April,9,2007-01-01
2008,RIO,April,2,2008-01-01
2009,RIO,April,1,2009-01-01
2010,RIO,April,10,2010-01-01
2011,RIO,April,12,2011-01-01
2012,RIO,April,12,2012-01-01
2013,RIO,April,9,2013-01-01
2014,RIO,April,25,2014-01-01
2015,RIO,April,24,2015-01-01
2016,RIO,April,45,2016-01-01
2017,RIO,April,12,2017-01-01
1998,RIO,May,0,1998-01-01
1999,RIO,May,7,1999-01-01
2000,RIO,May,5,2000-01-01
2001,RIO,May,4,2001-01-01
2002,RIO,May,4,2002-01-01
2003,RIO,May,1,2003-01-01
2004,RIO,May,0,2004-01-01
2005,RIO,May,11,2005-01-01
2006,RIO,May,4,2006-01-01
2007,RIO,May,2,2007-01-01
2008,RIO,May,0,2008-01-01
2009,RIO,May,37,2009-01-01
2010,RIO,May,6,2010-01-01
2011,RIO,May,17,2011-01-01
2012,RIO,May,18,2012-01-01
2013,RIO,May,16,2013-01-01
2014,RIO,May,20,2014-01-01
2015,RIO,May,21,2015-01-01
2016,RIO,May,30,2016-01-01
2017,RIO,May,15,2017-01-01
1998,RIO,June,3,1998-01-01
1999,RIO,June,8,1999-01-01
2000,RIO,June,14,2000-01-01
2001,RIO,June,13,2001-01-01
